file,race,gender,age,condition,system,detected,confidence
val/10528.jpg,Black,Male,3-9,standard,DeepFace (RetinaFace),True,1.0
val/10528.jpg,Black,Male,3-9,standard,InsightFace (SCRFD),False,0.0
val/10528.jpg,Black,Male,3-9,dim,DeepFace (RetinaFace),True,1.0
val/10528.jpg,Black,Male,3-9,dim,InsightFace (SCRFD),False,0.0
val/955.jpg,Black,Male,20-29,standard,DeepFace (RetinaFace),True,1.0
val/955.jpg,Black,Male,20-29,standard,InsightFace (SCRFD),False,0.0
val/955.jpg,Black,Male,20-29,dim,DeepFace (RetinaFace),True,1.0
val/955.jpg,Black,Male,20-29,dim,InsightFace (SCRFD),False,0.0
val/2231.jpg,Black,Male,30-39,standard,DeepFace (RetinaFace),True,0.96
val/2231.jpg,Black,Male,30-39,standard,InsightFace (SCRFD),False,0.0
val/2231.jpg,Black,Male,30-39,dim,DeepFace (RetinaFace),True,0.93
val/2231.jpg,Black,Male,30-39,dim,InsightFace (SCRFD),False,0.0
val/2968.jpg,Black,Male,3-9,standard,DeepFace (RetinaFace),True,1.0
val/2968.jpg,Black,Male,3-9,standard,InsightFace (SCRFD),False,0.0
val/2968.jpg,Black,Male,3-9,dim,DeepFace (RetinaFace),True,1.0
val/2968.jpg,Black,Male,3-9,dim,InsightFace (SCRFD),False,0.0
val/10033.jpg,Black,Female,20-29,standard,DeepFace (RetinaFace),True,1.0
val/10033.jpg,Black,Female,20-29,standard,InsightFace (SCRFD),False,0.0
val/10033.jpg,Black,Female,20-29,dim,DeepFace (RetinaFace),True,1.0
val/10033.jpg,Black,Female,20-29,dim,InsightFace (SCRFD),False,0.0
val/10632.jpg,Black,Female,20-29,standard,DeepFace (RetinaFace),True,1.0
val/10632.jpg,Black,Female,20-29,standard,InsightFace (SCRFD),False,0.0
val/10632.jpg,Black,Female,20-29,dim,DeepFace (RetinaFace),True,1.0
val/10632.jpg,Black,Female,20-29,dim,InsightFace (SCRFD),False,0.0
val/338.jpg,Black,Female,40-49,standard,DeepFace (RetinaFace),True,1.0
val/338.jpg,Black,Female,40-49,standard,InsightFace (SCRFD),False,0.0
val/338.jpg,Black,Female,40-49,dim,DeepFace (RetinaFace),True,1.0
val/338.jpg,Black,Female,40-49,dim,InsightFace (SCRFD),False,0.0
val/2694.jpg,Black,Male,20-29,standard,DeepFace (RetinaFace),True,1.0
val/2694.jpg,Black,Male,20-29,standard,InsightFace (SCRFD),False,0.0
val/2694.jpg,Black,Male,20-29,dim,DeepFace (RetinaFace),True,1.0
val/2694.jpg,Black,Male,20-29,dim,InsightFace (SCRFD),False,0.0
val/4922.jpg,Black,Male,30-39,standard,DeepFace (RetinaFace),True,1.0
val/4922.jpg,Black,Male,30-39,standard,InsightFace (SCRFD),False,0.0
val/4922.jpg,Black,Male,30-39,dim,DeepFace (RetinaFace),True,1.0
val/4922.jpg,Black,Male,30-39,dim,InsightFace (SCRFD),False,0.0
val/2233.jpg,Black,Male,40-49,standard,DeepFace (RetinaFace),True,1.0
val/2233.jpg,Black,Male,40-49,standard,InsightFace (SCRFD),False,0.0
val/2233.jpg,Black,Male,40-49,dim,DeepFace (RetinaFace),True,1.0
val/2233.jpg,Black,Male,40-49,dim,InsightFace (SCRFD),False,0.0
val/184.jpg,Black,Female,3-9,standard,DeepFace (RetinaFace),True,0.99
val/184.jpg,Black,Female,3-9,standard,InsightFace (SCRFD),False,0.0
val/184.jpg,Black,Female,3-9,dim,DeepFace (RetinaFace),True,0.99
val/184.jpg,Black,Female,3-9,dim,InsightFace (SCRFD),False,0.0
val/9016.jpg,Black,Male,40-49,standard,DeepFace (RetinaFace),True,1.0
val/9016.jpg,Black,Male,40-49,standard,InsightFace (SCRFD),False,0.0
val/9016.jpg,Black,Male,40-49,dim,DeepFace (RetinaFace),True,1.0
val/9016.jpg,Black,Male,40-49,dim,InsightFace (SCRFD),False,0.0
val/5980.jpg,Black,Male,10-19,standard,DeepFace (RetinaFace),True,1.0
val/5980.jpg,Black,Male,10-19,standard,InsightFace (SCRFD),False,0.0
val/5980.jpg,Black,Male,10-19,dim,DeepFace (RetinaFace),True,1.0
val/5980.jpg,Black,Male,10-19,dim,InsightFace (SCRFD),False,0.0
val/10742.jpg,Black,Female,10-19,standard,DeepFace (RetinaFace),True,1.0
val/10742.jpg,Black,Female,10-19,standard,InsightFace (SCRFD),False,0.0
val/10742.jpg,Black,Female,10-19,dim,DeepFace (RetinaFace),True,1.0
val/10742.jpg,Black,Female,10-19,dim,InsightFace (SCRFD),False,0.0
val/4491.jpg,Black,Female,20-29,standard,DeepFace (RetinaFace),True,1.0
val/4491.jpg,Black,Female,20-29,standard,InsightFace (SCRFD),False,0.0
val/4491.jpg,Black,Female,20-29,dim,DeepFace (RetinaFace),True,1.0
val/4491.jpg,Black,Female,20-29,dim,InsightFace (SCRFD),False,0.0
val/10568.jpg,Black,Female,30-39,standard,DeepFace (RetinaFace),True,1.0
val/10568.jpg,Black,Female,30-39,standard,InsightFace (SCRFD),False,0.0
val/10568.jpg,Black,Female,30-39,dim,DeepFace (RetinaFace),True,1.0
val/10568.jpg,Black,Female,30-39,dim,InsightFace (SCRFD),False,0.0
val/2405.jpg,Black,Female,3-9,standard,DeepFace (RetinaFace),True,1.0
val/2405.jpg,Black,Female,3-9,standard,InsightFace (SCRFD),False,0.0
val/2405.jpg,Black,Female,3-9,dim,DeepFace (RetinaFace),True,1.0
val/2405.jpg,Black,Female,3-9,dim,InsightFace (SCRFD),False,0.0
val/2228.jpg,Black,Female,20-29,standard,DeepFace (RetinaFace),True,1.0
val/2228.jpg,Black,Female,20-29,standard,InsightFace (SCRFD),False,0.0
val/2228.jpg,Black,Female,20-29,dim,DeepFace (RetinaFace),True,1.0
val/2228.jpg,Black,Female,20-29,dim,InsightFace (SCRFD),False,0.0
val/10600.jpg,Black,Male,40-49,standard,DeepFace (RetinaFace),True,1.0
val/10600.jpg,Black,Male,40-49,standard,InsightFace (SCRFD),False,0.0
val/10600.jpg,Black,Male,40-49,dim,DeepFace (RetinaFace),True,1.0
val/10600.jpg,Black,Male,40-49,dim,InsightFace (SCRFD),False,0.0
val/6816.jpg,Black,Male,20-29,standard,DeepFace (RetinaFace),True,1.0
val/6816.jpg,Black,Male,20-29,standard,InsightFace (SCRFD),False,0.0
val/6816.jpg,Black,Male,20-29,dim,DeepFace (RetinaFace),True,1.0
val/6816.jpg,Black,Male,20-29,dim,InsightFace (SCRFD),False,0.0
val/6679.jpg,Black,Female,20-29,standard,DeepFace (RetinaFace),True,1.0
val/6679.jpg,Black,Female,20-29,standard,InsightFace (SCRFD),False,0.0
val/6679.jpg,Black,Female,20-29,dim,DeepFace (RetinaFace),True,1.0
val/6679.jpg,Black,Female,20-29,dim,InsightFace (SCRFD),False,0.0
val/10567.jpg,Black,Male,20-29,standard,DeepFace (RetinaFace),True,1.0
val/10567.jpg,Black,Male,20-29,standard,InsightFace (SCRFD),False,0.0
val/10567.jpg,Black,Male,20-29,dim,DeepFace (RetinaFace),True,1.0
val/10567.jpg,Black,Male,20-29,dim,InsightFace (SCRFD),False,0.0
val/6861.jpg,Black,Male,10-19,standard,DeepFace (RetinaFace),True,1.0
val/6861.jpg,Black,Male,10-19,standard,InsightFace (SCRFD),False,0.0
val/6861.jpg,Black,Male,10-19,dim,DeepFace (RetinaFace),True,1.0
val/6861.jpg,Black,Male,10-19,dim,InsightFace (SCRFD),False,0.0
val/4329.jpg,Black,Male,20-29,standard,DeepFace (RetinaFace),True,1.0
val/4329.jpg,Black,Male,20-29,standard,InsightFace (SCRFD),True,0.5891644358634949
val/4329.jpg,Black,Male,20-29,dim,DeepFace (RetinaFace),True,1.0
